[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [07] '00:10:01          4     36.35      0.00     10.20     12.86      0.54      4.09      0.24      0.00      0.00     35.72'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [08] '00:10:01          5     34.90      0.00     10.46     13.05      0.54      3.68      0.37      0.00      0.00     37.00'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [09] '00:10:01          6     36.30      0.00     10.65     14.36      0.58      4.28      0.21      0.00      0.00     33.62'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [10] '00:10:01          7     35.20      0.00      9.53     12.19      0.49      3.39      0.20      0.00      0.00     39.01'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [11] '00:10:01          8     42.28      0.00      9.27     11.45      0.49      4.01      0.20      0.00      0.00     32.31'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [12] '00:10:01          9     16.86      0.00     13.53     10.74      1.71      2.35     22.16      0.00      0.00     32.64'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [13] '00:10:01         10     35.43      0.00     10.37     14.05      0.56      3.99      0.20      0.00      0.00     35.41'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [14] '00:10:01         11     33.70      0.00     11.77     16.34      0.55      3.26      0.21      0.00      0.00     34.17'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [15] '00:10:01         12     29.71      0.00     10.55     14.45      0.58      4.04      0.20      0.00      0.00     40.47'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [16] '00:10:01         13     34.20      0.00      9.97     13.08      0.59      4.63      0.19      0.00      0.00     37.34'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [17] '00:10:01         14     33.76      0.00     10.18     12.83      0.52      3.94      0.19      0.00      0.00     38.58'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [18] '00:10:01         15     29.71      0.00     11.06     14.13      0.64      4.12      0.84      0.00      0.00     39.49'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   [19] '00:10:01         16     33.51      0.00     11.97      7.72      0.98      1.98     13.12      0.00      0.00     30.72'
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser |   CPU header detected: ['CPU', '%usr', '%nice', '%sys', '%iowait', '%steal', '%irq', '%soft', '%guest', '%gnice', '%idle']
[2026-07-10 11:54:38] INFO     | sar_cpu_parser | Parsed 6149 CPU rows for TCLFSLPRDDB1
[2026-07-10 11:54:40] INFO     | sar_cpu_parser | Inserted 6149 CPU rows
[2026-07-10 11:54:41] INFO     | sar_cpu_parser | CPU parser -- first 20 lines of input for LTPOL3VLMSDBO02 / 06/27/2026:
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [00] 'Linux 4.18.0-553.126.1.el8_10.x86_64 (LTPOL3VLMSDBO02) \t2026-06-27 \t_x86_64_\t(12 CPU)'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [01] '05:30:00        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [02] '05:40:00        all     51.81      0.00      0.71      0.30      0.00      0.19      0.06      0.00      0.00     46.94'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [03] '05:40:00          0      3.67      0.00      1.10      0.39      0.00      0.14      0.15      0.00      0.00     94.55'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [04] '05:40:00          1     99.27      0.00      0.20      0.10      0.00      0.19      0.01      0.00      0.00      0.23'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [05] '05:40:00          2      3.82      0.00      1.31      0.86      0.00      0.17      0.23      0.00      0.00     93.61'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [06] '05:40:00          3     99.74      0.00      0.03      0.00      0.00      0.21      0.01      0.00      0.00      0.02'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [07] '05:40:00          4      3.54      0.00      1.12      0.68      0.00      0.14      0.06      0.00      0.00     94.46'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [08] '05:40:00          5     25.26      0.00      1.08      0.25      0.00      0.17      0.05      0.00      0.00     73.19'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [09] '05:40:00          6     99.75      0.00      0.02      0.01      0.00      0.19      0.01      0.00      0.00      0.01'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [10] '05:40:00          7     99.66      0.00      0.09      0.00      0.00      0.24      0.01      0.00      0.00      0.00'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [11] '05:40:00          8     78.57      0.00      0.65      0.38      0.00      0.31      0.02      0.00      0.00     20.07'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [12] '05:40:00          9     71.93      0.00      0.35      0.08      0.00      0.17      0.02      0.00      0.00     27.46'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [13] '05:40:00         10      3.57      0.00      1.30      0.41      0.00      0.13      0.06      0.00      0.00     94.52'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [14] '05:40:00         11     31.64      0.00      1.27      0.47      0.00      0.18      0.04      0.00      0.00     66.40'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [15] '05:50:00        all     52.13      0.00      0.54      0.37      0.00      0.18      0.05      0.00      0.00     46.72'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [16] '05:50:00          0      2.38      0.00      0.91      0.82      0.00      0.13      0.15      0.00      0.00     95.61'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [17] '05:50:00          1     99.80      0.00      0.00      0.00      0.00      0.19      0.01      0.00      0.00      0.00'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [18] '05:50:00          2     11.08      0.00      1.13      1.06      0.00      0.21      0.19      0.00      0.00     86.33'
[2026-07-10 11:54:41] INFO     | sar_cpu_parser |   [19] '05:50:00          3     99.73      0.00      0.03      0.00      0.00      0.23      0.01      0.00      0.00      0.00'
